implementacao,linguagem,camada,operacao,chave_bits,iteracoes,media_s,desvio_s,cv_pct,pico_rss_kb,cpu_s,fonte
java.security,Java,vanilla,Geracao,2048,5,0.103175181,0.049649346,48.1,191344,0.126000,parte 2.txt
java.security,Java,vanilla,Geracao,2048,10,0.132027000,0.063271508,47.9,188388,0.142000,parte 2.txt
java.security,Java,vanilla,Geracao,2048,50,0.148421049,0.080583965,54.3,207404,0.156200,parte 2.txt
java.security,Java,vanilla,Geracao,2048,100,0.160944158,0.094479422,58.7,207440,0.163100,parte 2.txt
java.security,Java,vanilla,Geracao,4096,5,1.736419511,1.492173540,85.9,184904,1.734000,parte 2.txt
java.security,Java,vanilla,Geracao,4096,10,1.797320089,1.052293554,58.5,184976,1.790000,parte 2.txt
java.security,Java,vanilla,Geracao,4096,50,1.823349712,1.266219901,69.4,184872,1.819000,parte 2.txt
java.security,Java,vanilla,Geracao,4096,100,1.869465419,1.371017688,73.3,184924,1.861200,parte 2.txt
java.security,Java,vanilla,Cifracao,2048,10,0.000112081,0.000038044,33.9,184952,0.000000,parte 2.txt
java.security,Java,vanilla,Cifracao,2048,100,0.000095666,0.000019195,20.1,184960,0.000200,parte 2.txt
java.security,Java,vanilla,Cifracao,2048,1000,0.000094341,0.000043701,46.3,184972,0.000180,parte 2.txt
java.security,Java,vanilla,Cifracao,2048,10000,0.000074862,0.000022586,30.2,185044,0.000114,parte 2.txt
java.security,Java,vanilla,Cifracao,4096,10,0.000249657,0.000045450,18.2,185080,0.001000,parte 2.txt
java.security,Java,vanilla,Cifracao,4096,100,0.000244418,0.000029986,12.3,185084,0.000200,parte 2.txt
java.security,Java,vanilla,Cifracao,4096,1000,0.000228668,0.000039576,17.3,185096,0.000230,parte 2.txt
java.security,Java,vanilla,Cifracao,4096,10000,0.000240254,0.000090433,37.6,207692,0.000334,parte 2.txt
java.security,Java,vanilla,Decifracao,2048,10,0.002030390,0.000573178,28.2,207708,0.002000,parte 2.txt
java.security,Java,vanilla,Decifracao,2048,100,0.001800854,0.000160762,8.9,207716,0.002100,parte 2.txt
java.security,Java,vanilla,Decifracao,2048,1000,0.001763929,0.000172915,9.8,207724,0.001820,parte 2.txt
java.security,Java,vanilla,Decifracao,2048,10000,0.001734041,0.000182055,10.5,273192,0.001764,parte 2.txt
java.security,Java,vanilla,Decifracao,4096,10,0.012384125,0.001835615,14.8,273940,0.018000,parte 2.txt
java.security,Java,vanilla,Decifracao,4096,100,0.010934193,0.001183636,10.8,199360,0.011400,parte 2.txt
java.security,Java,vanilla,Decifracao,4096,1000,0.011402925,0.001548442,13.6,206260,0.012170,parte 2.txt
java.security,Java,vanilla,Decifracao,4096,10000,0.011337734,0.001120762,9.9,188156,0.011355,parte 2.txt
BouncyCastle,Java,framework,Geracao,2048,5,0.236078400,0.073006231,30.9,,,java BC.txt
BouncyCastle,Java,framework,Geracao,2048,10,0.223978827,0.041771441,18.6,,,java BC.txt
BouncyCastle,Java,framework,Geracao,2048,50,0.220641216,0.018873064,8.6,,,java BC.txt
BouncyCastle,Java,framework,Geracao,2048,100,0.206799071,0.010349964,5.0,,,java BC.txt
BouncyCastle,Java,framework,Geracao,4096,5,,,,,,ausente
BouncyCastle,Java,framework,Geracao,4096,10,20.977580753,1.473316723,7.0,,,java BC.txt
BouncyCastle,Java,framework,Geracao,4096,50,0.448687957,0.079640295,17.7,,,java BC.txt
BouncyCastle,Java,framework,Geracao,4096,100,1.039574519,0.100753650,9.7,,,java BC.txt
BouncyCastle,Java,framework,Cifracao,2048,10,0.000198527,0.000083947,42.3,,,java BC.txt
BouncyCastle,Java,framework,Cifracao,2048,100,0.000127219,0.000024486,19.2,,,java BC.txt
BouncyCastle,Java,framework,Cifracao,2048,1000,0.000064788,0.000017720,27.4,,,java BC.txt
BouncyCastle,Java,framework,Cifracao,2048,10000,0.000054623,0.000005097,9.3,,,java BC.txt
BouncyCastle,Java,framework,Cifracao,4096,10,,,,,,ausente
BouncyCastle,Java,framework,Cifracao,4096,100,0.000041243,0.000016982,41.2,,,java BC.txt
BouncyCastle,Java,framework,Cifracao,4096,1000,0.000030522,0.000008280,27.1,,,java BC.txt
BouncyCastle,Java,framework,Cifracao,4096,10000,0.000182346,0.000011863,6.5,,,java BC.txt
BouncyCastle,Java,framework,Decifracao,2048,10,0.002273780,0.000501242,22.0,,,java BC.txt
BouncyCastle,Java,framework,Decifracao,2048,100,0.001425886,0.000140698,9.9,,,java BC.txt
BouncyCastle,Java,framework,Decifracao,2048,1000,0.001324633,0.000026673,2.0,,,java BC.txt
BouncyCastle,Java,framework,Decifracao,2048,10000,0.001318657,0.000019479,1.5,,,java BC.txt
BouncyCastle,Java,framework,Decifracao,4096,10,0.009468407,0.000781937,8.3,,,java BC.txt
BouncyCastle,Java,framework,Decifracao,4096,100,0.009051166,0.000425674,4.7,,,java BC.txt
BouncyCastle,Java,framework,Decifracao,4096,1000,0.008860871,0.000136597,1.5,,,java BC.txt
BouncyCastle,Java,framework,Decifracao,4096,10000,0.008817134,0.000026562,0.3,,,java BC.txt
BouncyCastle,Java,vanilla,Geracao,2048,5,0.322631422,0.107323754,33.3,240252,0.462000,java vanilla bc.txt
BouncyCastle,Java,vanilla,Geracao,2048,10,0.245731681,0.117636127,47.9,181660,0.261000,java vanilla bc.txt
BouncyCastle,Java,vanilla,Geracao,2048,50,0.260481906,0.153049334,58.8,181744,0.264000,java vanilla bc.txt
BouncyCastle,Java,vanilla,Geracao,2048,100,0.234370747,0.144337987,61.6,154928,0.236700,java vanilla bc.txt
BouncyCastle,Java,vanilla,Geracao,4096,5,2.602782217,1.397419370,53.7,147212,2.602000,java vanilla bc.txt
BouncyCastle,Java,vanilla,Geracao,4096,10,2.162640127,1.172249023,54.2,147244,2.161000,java vanilla bc.txt
